scenario_id,bench_id,replicate,random_seed,min_ttc_s,verdict
CUT_IN_60KPH,HIL-A,1,56550,1.4761,fail
CUT_IN_60KPH,HIL-A,2,237531,1.3926,fail
CUT_IN_60KPH,HIL-A,3,261862,1.335,fail
CUT_IN_60KPH,HIL-B,1,548796,1.2235,fail
CUT_IN_60KPH,HIL-B,2,504157,1.2612,fail
CUT_IN_60KPH,HIL-B,3,385864,1.2784,fail
CUT_IN_60KPH,HIL-C,1,759541,1.1273,fail
CUT_IN_60KPH,HIL-C,2,318464,1.9394,pass
CUT_IN_60KPH,HIL-C,3,52275,2.5878,pass
CUT_IN_100KPH,HIL-A,1,868458,1.0143,fail
CUT_IN_100KPH,HIL-A,2,24293,1.104,fail
CUT_IN_100KPH,HIL-A,3,23449,1.0144,fail
CUT_IN_100KPH,HIL-B,1,972012,0.7033,fail
CUT_IN_100KPH,HIL-B,2,241265,0.8718,fail
CUT_IN_100KPH,HIL-B,3,405080,0.7505,fail
CUT_IN_100KPH,HIL-C,1,801864,1.0064,fail
CUT_IN_100KPH,HIL-C,2,430456,1.2705,fail
CUT_IN_100KPH,HIL-C,3,746009,1.2323,fail
LEAD_BRAKE_HARD,HIL-A,1,890803,1.2812,fail
LEAD_BRAKE_HARD,HIL-A,2,892460,1.3053,fail
LEAD_BRAKE_HARD,HIL-A,3,9974,1.2286,fail
LEAD_BRAKE_HARD,HIL-B,1,216505,1.2569,fail
LEAD_BRAKE_HARD,HIL-B,2,522899,1.0381,fail
LEAD_BRAKE_HARD,HIL-B,3,564216,1.239,fail
LEAD_BRAKE_HARD,HIL-C,1,488317,0.812,fail
LEAD_BRAKE_HARD,HIL-C,2,387378,1.2232,fail
LEAD_BRAKE_HARD,HIL-C,3,493678,1.3824,fail
LEAD_BRAKE_MODERATE,HIL-A,1,407536,2.3955,pass
LEAD_BRAKE_MODERATE,HIL-A,2,870255,2.2744,pass
LEAD_BRAKE_MODERATE,HIL-A,3,659612,2.4372,pass
LEAD_BRAKE_MODERATE,HIL-B,1,603086,2.1839,pass
LEAD_BRAKE_MODERATE,HIL-B,2,517603,2.3797,pass
LEAD_BRAKE_MODERATE,HIL-B,3,747543,2.0644,pass
LEAD_BRAKE_MODERATE,HIL-C,1,934800,3.3601,pass
LEAD_BRAKE_MODERATE,HIL-C,2,844538,2.3325,pass
LEAD_BRAKE_MODERATE,HIL-C,3,495512,2.5202,pass
PED_CROSS_OCCLUDED,HIL-A,1,237432,1.4911,fail
PED_CROSS_OCCLUDED,HIL-A,2,737850,1.5706,pass
PED_CROSS_OCCLUDED,HIL-A,3,926587,1.6466,pass
PED_CROSS_OCCLUDED,HIL-B,1,104769,1.657,pass
PED_CROSS_OCCLUDED,HIL-B,2,887415,1.466,fail
PED_CROSS_OCCLUDED,HIL-B,3,669503,1.5296,pass
PED_CROSS_OCCLUDED,HIL-C,1,885644,1.8335,pass
PED_CROSS_OCCLUDED,HIL-C,2,788929,1.9666,pass
PED_CROSS_OCCLUDED,HIL-C,3,223996,1.6961,pass
