fault_id,campaign_id,detected
F-PT-020,CAMP-2024-Q2,True
F-SD-004,CAMP-2024-Q2,True
F-PT-016,CAMP-2024-Q2,False
F-PFN-036,CAMP-2024-Q2,False
F-PT-008,CAMP-2024-Q2,True
F-PFN-009,CAMP-2024-Q2,False
F-PFN-002,CAMP-2024-Q2,True
F-AF-023,CAMP-2024-Q2,True
F-PT-012,CAMP-2024-Q2,True
F-PT-025,CAMP-2024-Q2,True
F-PFN-023,CAMP-2024-Q2,True
F-SD-014,CAMP-2024-Q2,True
F-AF-012,CAMP-2024-Q2,True
F-AF-013,CAMP-2024-Q2,True
F-PFN-007,CAMP-2024-Q2,True
F-SD-013,CAMP-2024-Q2,True
F-PFN-026,CAMP-2024-Q2,True
F-PFN-018,CAMP-2024-Q2,False
F-PFN-005,CAMP-2024-Q2,True
F-PFN-008,CAMP-2024-Q2,False
F-PT-018,CAMP-2024-Q2,True
F-SD-017,CAMP-2024-Q2,True
F-SD-021,CAMP-2024-Q2,True
F-PT-004,CAMP-2024-Q2,True
F-PT-005,CAMP-2024-Q2,True
F-SD-025,CAMP-2024-Q2,True
F-PT-029,CAMP-2024-Q2,True
F-OOD-003,CAMP-2024-Q2,False
F-AF-018,CAMP-2024-Q2,True
F-PFN-020,CAMP-2024-Q2,True
F-PFN-029,CAMP-2024-Q2,False
F-PFN-034,CAMP-2024-Q2,False
F-PFN-003,CAMP-2024-Q2,True
F-PFN-021,CAMP-2024-Q2,False
F-PT-026,CAMP-2024-Q2,True
F-PT-019,CAMP-2024-Q2,False
F-SD-012,CAMP-2024-Q2,True
F-PT-027,CAMP-2024-Q2,True
F-PFN-040,CAMP-2024-Q2,False
F-PT-028,CAMP-2024-Q2,True
F-PFN-010,CAMP-2024-Q2,True
F-PT-013,CAMP-2024-Q2,True
F-PT-007,CAMP-2024-Q2,True
F-SD-008,CAMP-2024-Q2,True
F-PFN-011,CAMP-2024-Q2,False
F-AF-014,CAMP-2024-Q2,True
F-SD-002,CAMP-2024-Q2,True
F-PFN-035,CAMP-2024-Q2,False
F-SD-018,CAMP-2024-Q2,True
F-PFN-006,CAMP-2024-Q2,False
F-SD-022,CAMP-2024-Q2,True
F-AF-016,CAMP-2024-Q2,True
F-PFN-022,CAMP-2024-Q2,False
F-PFN-004,CAMP-2024-Q2,False
F-SD-005,CAMP-2024-Q2,True
F-PT-024,CAMP-2024-Q2,True
F-AF-025,CAMP-2024-Q2,True
F-PT-003,CAMP-2024-Q2,True
F-AF-006,CAMP-2024-Q2,True
F-AF-009,CAMP-2024-Q2,True
F-AF-022,CAMP-2024-Q2,True
F-AF-011,CAMP-2024-Q2,True
F-SD-011,CAMP-2024-Q2,True
F-SD-023,CAMP-2024-Q2,True
F-OOD-004,CAMP-2024-Q2,True
F-AF-017,CAMP-2024-Q2,True
F-PFN-012,CAMP-2024-Q2,False
F-AF-002,CAMP-2024-Q2,True
F-SD-020,CAMP-2024-Q2,True
F-PT-017,CAMP-2024-Q2,True
F-SD-003,CAMP-2024-Q2,True
F-PT-022,CAMP-2024-Q2,True
F-PFN-016,CAMP-2024-Q2,True
F-AF-020,CAMP-2024-Q2,True
F-PT-006,CAMP-2024-Q2,True
F-OOD-001,CAMP-2024-Q2,True
F-PT-010,CAMP-2024-Q2,True
F-SD-010,CAMP-2024-Q2,True
F-PT-021,CAMP-2024-Q2,True
F-PFN-032,CAMP-2024-Q2,True
F-AF-004,CAMP-2024-Q2,True
F-PFN-001,CAMP-2024-Q2,True
F-PT-030,CAMP-2024-Q2,True
F-AF-015,CAMP-2024-Q2,True
F-AF-003,CAMP-2024-Q2,True
F-SD-024,CAMP-2024-Q2,True
F-PT-023,CAMP-2024-Q2,True
F-PFN-017,CAMP-2024-Q2,True
F-PFN-019,CAMP-2024-Q2,True
F-PFN-027,CAMP-2024-Q2,True
F-PFN-039,CAMP-2024-Q2,False
F-PFN-013,CAMP-2024-Q2,True
F-AF-019,CAMP-2024-Q2,True
F-PT-009,CAMP-2024-Q2,True
F-SD-019,CAMP-2024-Q2,True
F-AF-005,CAMP-2024-Q2,True
F-AF-010,CAMP-2024-Q2,False
F-PT-011,CAMP-2024-Q2,True
F-SD-015,CAMP-2024-Q2,True
F-PT-014,CAMP-2024-Q2,True
F-PFN-037,CAMP-2024-Q2,True
F-AF-001,CAMP-2024-Q2,True
F-PT-002,CAMP-2024-Q2,True
F-PFN-031,CAMP-2024-Q2,False
F-AF-024,CAMP-2024-Q2,True
F-SD-007,CAMP-2024-Q2,True
F-PFN-030,CAMP-2024-Q2,True
F-PFN-028,CAMP-2024-Q2,False
F-SD-009,CAMP-2024-Q2,True
F-PFN-033,CAMP-2024-Q2,False
F-PT-001,CAMP-2024-Q2,True
F-SD-001,CAMP-2024-Q2,True
F-PFN-014,CAMP-2024-Q2,True
F-OOD-002,CAMP-2024-Q2,False
F-SD-006,CAMP-2024-Q2,True
F-PFN-024,CAMP-2024-Q2,True
F-AF-007,CAMP-2024-Q2,True
F-AF-021,CAMP-2024-Q2,True
F-AF-008,CAMP-2024-Q2,True
F-PFN-038,CAMP-2024-Q2,True
F-PFN-025,CAMP-2024-Q2,True
F-SD-016,CAMP-2024-Q2,True
F-PT-015,CAMP-2024-Q2,True
F-PFN-015,CAMP-2024-Q2,True
