fault_id,hazard_id,hazard_class,injection_point,expected_detection
F-PT-020,HZ-PT-02,planning_timing,trajectory_publish_delay,True
F-SD-004,HZ-SD-04,sensor_dropout,lidar_frame_stream,True
F-PT-016,HZ-PT-04,planning_timing,trajectory_publish_delay,True
F-PFN-036,HZ-PFN-06,perception_false_negative,fusion_output,True
F-PT-008,HZ-PT-02,planning_timing,trajectory_publish_delay,True
F-PFN-009,HZ-PFN-03,perception_false_negative,fusion_output,True
F-PFN-002,HZ-PFN-02,perception_false_negative,radar_track_list,True
F-AF-023,HZ-AF-05,actuation_fault,brake_torque_command,True
F-PT-012,HZ-PT-06,planning_timing,trajectory_publish_delay,True
F-PT-025,HZ-PT-01,planning_timing,planner_cycle_budget,True
F-PEND-004,HZ-PEND-04,perception_false_negative,camera_object_list,True
F-PFN-023,HZ-PFN-05,perception_false_negative,radar_track_list,True
F-SD-014,HZ-SD-02,sensor_dropout,radar_frame_stream,True
F-AF-012,HZ-AF-06,actuation_fault,steering_angle_command,True
F-AF-013,HZ-AF-01,actuation_fault,brake_torque_command,True
F-PFN-007,HZ-PFN-01,perception_false_negative,camera_object_list,True
F-SD-013,HZ-SD-01,sensor_dropout,lidar_frame_stream,True
F-PFN-026,HZ-PFN-02,perception_false_negative,radar_track_list,True
F-PFN-018,HZ-PFN-06,perception_false_negative,fusion_output,True
F-PFN-005,HZ-PFN-05,perception_false_negative,radar_track_list,True
F-PFN-008,HZ-PFN-02,perception_false_negative,radar_track_list,True
F-PT-018,HZ-PT-06,planning_timing,trajectory_publish_delay,True
F-SD-017,HZ-SD-05,sensor_dropout,radar_frame_stream,True
F-SD-021,HZ-SD-03,sensor_dropout,can_bus,True
F-PT-004,HZ-PT-04,planning_timing,trajectory_publish_delay,True
F-PT-005,HZ-PT-05,planning_timing,planner_cycle_budget,True
F-SD-025,HZ-SD-01,sensor_dropout,lidar_frame_stream,True
F-PT-029,HZ-PT-05,planning_timing,planner_cycle_budget,True
F-OOD-003,HZ-OOD-03,actuation_fault,brake_torque_command,False
F-AF-018,HZ-AF-06,actuation_fault,steering_angle_command,True
F-PFN-020,HZ-PFN-02,perception_false_negative,radar_track_list,True
F-PFN-029,HZ-PFN-05,perception_false_negative,radar_track_list,True
F-PFN-034,HZ-PFN-04,perception_false_negative,camera_object_list,True
F-PFN-003,HZ-PFN-03,perception_false_negative,fusion_output,True
F-PFN-021,HZ-PFN-03,perception_false_negative,fusion_output,True
F-PT-026,HZ-PT-02,planning_timing,trajectory_publish_delay,True
F-PT-019,HZ-PT-01,planning_timing,planner_cycle_budget,True
F-SD-012,HZ-SD-06,sensor_dropout,can_bus,True
F-PT-027,HZ-PT-03,planning_timing,planner_cycle_budget,True
F-PFN-040,HZ-PFN-04,perception_false_negative,camera_object_list,True
F-PT-028,HZ-PT-04,planning_timing,trajectory_publish_delay,True
F-PFN-010,HZ-PFN-04,perception_false_negative,camera_object_list,True
F-PT-013,HZ-PT-01,planning_timing,planner_cycle_budget,True
F-PT-007,HZ-PT-01,planning_timing,planner_cycle_budget,True
F-SD-008,HZ-SD-02,sensor_dropout,radar_frame_stream,True
F-PFN-011,HZ-PFN-05,perception_false_negative,radar_track_list,True
F-AF-014,HZ-AF-02,actuation_fault,steering_angle_command,True
F-SD-002,HZ-SD-02,sensor_dropout,radar_frame_stream,True
F-PFN-035,HZ-PFN-05,perception_false_negative,radar_track_list,True
F-SD-018,HZ-SD-06,sensor_dropout,can_bus,True
F-PFN-006,HZ-PFN-06,perception_false_negative,fusion_output,True
