scenario_id,cadence_gap,speed_disagreement,position_innovation,speed_freeze,lead_signal_loss
US101_V0779_T1118847200000,False,False,False,False,False
US101_V0781_T1118847200000,False,False,False,False,False
US101_V0787_T1118847200000,False,False,False,False,False
US101_V0788_T1118847200000,False,False,False,False,False
US101_V0790_T1118847201700,False,False,False,False,False
US101_V0791_T1118847201700,False,False,False,False,False
US101_V0792_T1118847202400,False,False,False,False,False
US101_V0793_T1118847203000,False,False,False,False,False
US101_V0796_T1118847203600,False,False,False,False,False
US101_V0798_T1118847204700,False,False,False,False,False
US101_V0799_T1118847202800,False,False,False,False,False
US101_V0800_T1118847203500,False,False,False,False,False
US101_V0801_T1118847204800,False,False,False,False,False
US101_V0806_T1118847204200,False,False,False,False,False
US101_V0808_T1118847203600,False,False,False,False,False
US101_V0809_T1118847200000,False,False,False,False,False
US101_V0810_T1118847204100,False,False,False,False,False
US101_V0811_T1118847205400,False,False,False,False,False
US101_V0812_T1118847204800,False,False,False,False,False
US101_V0813_T1118847205400,False,False,False,False,False
