scenario_id,vehicle_id,bench_id,replicate,replicate_definition,residual_clearance_ft,reference_value_ft,verdict
US101_V0779_T1118847200000,779,DOT_published_speed,1,10Hz sampling phase 0 modulo 3,62.158,61.92,pass
US101_V0779_T1118847200000,779,DOT_published_speed,2,10Hz sampling phase 1 modulo 3,63.031000000000006,61.92,pass
US101_V0779_T1118847200000,779,DOT_published_speed,3,10Hz sampling phase 2 modulo 3,62.339999999999996,61.92,pass
US101_V0779_T1118847200000,779,local_position_SG,1,10Hz sampling phase 0 modulo 3,63.70943636363624,61.92,pass
US101_V0779_T1118847200000,779,local_position_SG,2,10Hz sampling phase 1 modulo 3,63.316527272727,61.92,pass
US101_V0779_T1118847200000,779,local_position_SG,3,10Hz sampling phase 2 modulo 3,63.41585734265228,61.92,pass
US101_V0779_T1118847200000,779,global_position_SG,1,10Hz sampling phase 0 modulo 3,63.69788554498754,61.92,pass
US101_V0779_T1118847200000,779,global_position_SG,2,10Hz sampling phase 1 modulo 3,63.246095323372785,61.92,pass
US101_V0779_T1118847200000,779,global_position_SG,3,10Hz sampling phase 2 modulo 3,63.305339335688714,61.92,pass
US101_V0781_T1118847200000,781,DOT_published_speed,1,10Hz sampling phase 0 modulo 3,88.749,89.0,pass
US101_V0781_T1118847200000,781,DOT_published_speed,2,10Hz sampling phase 1 modulo 3,89.51,89.0,pass
US101_V0781_T1118847200000,781,DOT_published_speed,3,10Hz sampling phase 2 modulo 3,90.154,89.0,pass
US101_V0781_T1118847200000,781,local_position_SG,1,10Hz sampling phase 0 modulo 3,88.749,89.0,pass
US101_V0781_T1118847200000,781,local_position_SG,2,10Hz sampling phase 1 modulo 3,89.51,89.0,pass
US101_V0781_T1118847200000,781,local_position_SG,3,10Hz sampling phase 2 modulo 3,90.154,89.0,pass
US101_V0781_T1118847200000,781,global_position_SG,1,10Hz sampling phase 0 modulo 3,88.749,89.0,pass
US101_V0781_T1118847200000,781,global_position_SG,2,10Hz sampling phase 1 modulo 3,89.51,89.0,pass
US101_V0781_T1118847200000,781,global_position_SG,3,10Hz sampling phase 2 modulo 3,90.154,89.0,pass
US101_V0787_T1118847200000,787,DOT_published_speed,1,10Hz sampling phase 0 modulo 3,47.42100000000001,46.64,pass
US101_V0787_T1118847200000,787,DOT_published_speed,2,10Hz sampling phase 1 modulo 3,46.748000000000005,46.64,pass
US101_V0787_T1118847200000,787,DOT_published_speed,3,10Hz sampling phase 2 modulo 3,47.514,46.64,pass
US101_V0787_T1118847200000,787,local_position_SG,1,10Hz sampling phase 0 modulo 3,49.89549090909097,46.64,pass
US101_V0787_T1118847200000,787,local_position_SG,2,10Hz sampling phase 1 modulo 3,47.51752727272729,46.64,pass
US101_V0787_T1118847200000,787,local_position_SG,3,10Hz sampling phase 2 modulo 3,48.61509090909093,46.64,pass
US101_V0787_T1118847200000,787,global_position_SG,1,10Hz sampling phase 0 modulo 3,48.76339938851353,46.64,pass
US101_V0787_T1118847200000,787,global_position_SG,2,10Hz sampling phase 1 modulo 3,47.25626832498851,46.64,pass
US101_V0787_T1118847200000,787,global_position_SG,3,10Hz sampling phase 2 modulo 3,48.28092426875204,46.64,pass
US101_V0788_T1118847200000,788,DOT_published_speed,1,10Hz sampling phase 0 modulo 3,107.378,107.54,pass
US101_V0788_T1118847200000,788,DOT_published_speed,2,10Hz sampling phase 1 modulo 3,108.89300000000001,107.54,pass
US101_V0788_T1118847200000,788,DOT_published_speed,3,10Hz sampling phase 2 modulo 3,110.432,107.54,pass
US101_V0788_T1118847200000,788,local_position_SG,1,10Hz sampling phase 0 modulo 3,107.378,107.54,pass
US101_V0788_T1118847200000,788,local_position_SG,2,10Hz sampling phase 1 modulo 3,108.89300000000001,107.54,pass
US101_V0788_T1118847200000,788,local_position_SG,3,10Hz sampling phase 2 modulo 3,110.432,107.54,pass
US101_V0788_T1118847200000,788,global_position_SG,1,10Hz sampling phase 0 modulo 3,107.378,107.54,pass
US101_V0788_T1118847200000,788,global_position_SG,2,10Hz sampling phase 1 modulo 3,108.89300000000001,107.54,pass
US101_V0788_T1118847200000,788,global_position_SG,3,10Hz sampling phase 2 modulo 3,110.432,107.54,pass
US101_V0790_T1118847201700,790,DOT_published_speed,1,10Hz sampling phase 0 modulo 3,48.334,48.150000000000006,pass
US101_V0790_T1118847201700,790,DOT_published_speed,2,10Hz sampling phase 1 modulo 3,48.261,48.150000000000006,pass
US101_V0790_T1118847201700,790,DOT_published_speed,3,10Hz sampling phase 2 modulo 3,48.601000000000006,48.150000000000006,pass
US101_V0790_T1118847201700,790,local_position_SG,1,10Hz sampling phase 0 modulo 3,49.111781818181875,48.150000000000006,pass
US101_V0790_T1118847201700,790,local_position_SG,2,10Hz sampling phase 1 modulo 3,49.12676363636372,48.150000000000006,pass
US101_V0790_T1118847201700,790,local_position_SG,3,10Hz sampling phase 2 modulo 3,48.74607272727268,48.150000000000006,pass
US101_V0790_T1118847201700,790,global_position_SG,1,10Hz sampling phase 0 modulo 3,49.15005253809491,48.150000000000006,pass
US101_V0790_T1118847201700,790,global_position_SG,2,10Hz sampling phase 1 modulo 3,48.806597606312074,48.150000000000006,pass
US101_V0790_T1118847201700,790,global_position_SG,3,10Hz sampling phase 2 modulo 3,48.95144105097701,48.150000000000006,pass
US101_V0791_T1118847201700,791,DOT_published_speed,1,10Hz sampling phase 0 modulo 3,62.393,62.120000000000005,pass
US101_V0791_T1118847201700,791,DOT_published_speed,2,10Hz sampling phase 1 modulo 3,62.36,62.120000000000005,pass
US101_V0791_T1118847201700,791,DOT_published_speed,3,10Hz sampling phase 2 modulo 3,61.574000000000005,62.120000000000005,pass
US101_V0791_T1118847201700,791,local_position_SG,1,10Hz sampling phase 0 modulo 3,62.275018181818105,62.120000000000005,pass
US101_V0791_T1118847201700,791,local_position_SG,2,10Hz sampling phase 1 modulo 3,62.73430909090914,62.120000000000005,pass
US101_V0791_T1118847201700,791,local_position_SG,3,10Hz sampling phase 2 modulo 3,62.46529090909093,62.120000000000005,pass
US101_V0791_T1118847201700,791,global_position_SG,1,10Hz sampling phase 0 modulo 3,64.57147176830821,62.120000000000005,pass
US101_V0791_T1118847201700,791,global_position_SG,2,10Hz sampling phase 1 modulo 3,64.70352493440794,62.120000000000005,pass
US101_V0791_T1118847201700,791,global_position_SG,3,10Hz sampling phase 2 modulo 3,64.68610952055504,62.120000000000005,pass
