fault_id,detected,triggered_monitors
US101_V0779_T1118847200000__CLOCK_STEP,True,"cadence_gap,position_innovation"
US101_V0779_T1118847200000__SPEED_BIAS,True,speed_disagreement
US101_V0779_T1118847200000__POSITION_STEP,True,position_innovation
US101_V0779_T1118847200000__SPEED_FREEZE,True,speed_freeze
US101_V0779_T1118847200000__LEAD_SIGNAL_LOSS,True,lead_signal_loss
US101_V0781_T1118847200000__CLOCK_STEP,True,"cadence_gap,position_innovation"
US101_V0781_T1118847200000__SPEED_BIAS,True,speed_disagreement
US101_V0781_T1118847200000__POSITION_STEP,True,position_innovation
US101_V0781_T1118847200000__SPEED_FREEZE,True,speed_freeze
US101_V0781_T1118847200000__LEAD_SIGNAL_LOSS,True,lead_signal_loss
US101_V0787_T1118847200000__CLOCK_STEP,True,"cadence_gap,position_innovation"
US101_V0787_T1118847200000__SPEED_BIAS,True,speed_disagreement
US101_V0787_T1118847200000__POSITION_STEP,True,position_innovation
US101_V0787_T1118847200000__SPEED_FREEZE,True,speed_freeze
US101_V0787_T1118847200000__LEAD_SIGNAL_LOSS,True,lead_signal_loss
US101_V0788_T1118847200000__CLOCK_STEP,True,"cadence_gap,position_innovation"
US101_V0788_T1118847200000__SPEED_BIAS,True,speed_disagreement
US101_V0788_T1118847200000__POSITION_STEP,True,position_innovation
US101_V0788_T1118847200000__SPEED_FREEZE,True,speed_freeze
US101_V0788_T1118847200000__LEAD_SIGNAL_LOSS,True,lead_signal_loss
US101_V0790_T1118847201700__CLOCK_STEP,True,"cadence_gap,position_innovation"
US101_V0790_T1118847201700__SPEED_BIAS,True,speed_disagreement
US101_V0790_T1118847201700__POSITION_STEP,True,position_innovation
US101_V0790_T1118847201700__SPEED_FREEZE,True,speed_freeze
US101_V0790_T1118847201700__LEAD_SIGNAL_LOSS,True,lead_signal_loss
US101_V0791_T1118847201700__CLOCK_STEP,True,"cadence_gap,position_innovation"
US101_V0791_T1118847201700__SPEED_BIAS,True,speed_disagreement
US101_V0791_T1118847201700__POSITION_STEP,True,position_innovation
US101_V0791_T1118847201700__SPEED_FREEZE,True,speed_freeze
US101_V0791_T1118847201700__LEAD_SIGNAL_LOSS,True,lead_signal_loss
US101_V0792_T1118847202400__CLOCK_STEP,True,"cadence_gap,position_innovation"
US101_V0792_T1118847202400__SPEED_BIAS,True,speed_disagreement
US101_V0792_T1118847202400__POSITION_STEP,True,position_innovation
US101_V0792_T1118847202400__SPEED_FREEZE,True,speed_freeze
US101_V0792_T1118847202400__LEAD_SIGNAL_LOSS,True,lead_signal_loss
US101_V0793_T1118847203000__CLOCK_STEP,True,"cadence_gap,position_innovation"
US101_V0793_T1118847203000__SPEED_BIAS,True,speed_disagreement
US101_V0793_T1118847203000__POSITION_STEP,True,position_innovation
US101_V0793_T1118847203000__SPEED_FREEZE,True,speed_freeze
US101_V0793_T1118847203000__LEAD_SIGNAL_LOSS,True,lead_signal_loss
US101_V0796_T1118847203600__CLOCK_STEP,True,"cadence_gap,position_innovation"
US101_V0796_T1118847203600__SPEED_BIAS,True,speed_disagreement
US101_V0796_T1118847203600__POSITION_STEP,True,position_innovation
US101_V0796_T1118847203600__SPEED_FREEZE,True,speed_freeze
US101_V0796_T1118847203600__LEAD_SIGNAL_LOSS,True,lead_signal_loss
US101_V0798_T1118847204700__CLOCK_STEP,True,"cadence_gap,position_innovation"
US101_V0798_T1118847204700__SPEED_BIAS,True,speed_disagreement
US101_V0798_T1118847204700__POSITION_STEP,True,position_innovation
US101_V0798_T1118847204700__SPEED_FREEZE,True,speed_freeze
US101_V0798_T1118847204700__LEAD_SIGNAL_LOSS,True,lead_signal_loss
US101_V0799_T1118847202800__CLOCK_STEP,True,"cadence_gap,position_innovation"
US101_V0799_T1118847202800__SPEED_BIAS,True,speed_disagreement
US101_V0799_T1118847202800__POSITION_STEP,True,position_innovation
US101_V0799_T1118847202800__SPEED_FREEZE,True,speed_freeze
US101_V0799_T1118847202800__LEAD_SIGNAL_LOSS,True,lead_signal_loss
US101_V0800_T1118847203500__CLOCK_STEP,True,"cadence_gap,position_innovation"
US101_V0800_T1118847203500__SPEED_BIAS,True,speed_disagreement
US101_V0800_T1118847203500__POSITION_STEP,True,position_innovation
US101_V0800_T1118847203500__SPEED_FREEZE,True,speed_freeze
US101_V0800_T1118847203500__LEAD_SIGNAL_LOSS,True,lead_signal_loss
US101_V0801_T1118847204800__CLOCK_STEP,True,"cadence_gap,position_innovation"
US101_V0801_T1118847204800__SPEED_BIAS,True,speed_disagreement
US101_V0801_T1118847204800__POSITION_STEP,True,position_innovation
US101_V0801_T1118847204800__SPEED_FREEZE,True,speed_freeze
US101_V0801_T1118847204800__LEAD_SIGNAL_LOSS,True,lead_signal_loss
US101_V0806_T1118847204200__CLOCK_STEP,True,"cadence_gap,position_innovation"
US101_V0806_T1118847204200__SPEED_BIAS,True,speed_disagreement
US101_V0806_T1118847204200__POSITION_STEP,True,position_innovation
US101_V0806_T1118847204200__SPEED_FREEZE,True,speed_freeze
US101_V0806_T1118847204200__LEAD_SIGNAL_LOSS,True,lead_signal_loss
US101_V0808_T1118847203600__CLOCK_STEP,True,"cadence_gap,position_innovation"
US101_V0808_T1118847203600__SPEED_BIAS,True,speed_disagreement
US101_V0808_T1118847203600__POSITION_STEP,True,position_innovation
US101_V0808_T1118847203600__SPEED_FREEZE,True,speed_freeze
US101_V0808_T1118847203600__LEAD_SIGNAL_LOSS,True,lead_signal_loss
US101_V0809_T1118847200000__CLOCK_STEP,True,"cadence_gap,position_innovation"
US101_V0809_T1118847200000__SPEED_BIAS,True,speed_disagreement
US101_V0809_T1118847200000__POSITION_STEP,True,position_innovation
US101_V0809_T1118847200000__SPEED_FREEZE,True,speed_freeze
US101_V0809_T1118847200000__LEAD_SIGNAL_LOSS,True,lead_signal_loss
US101_V0810_T1118847204100__CLOCK_STEP,True,"cadence_gap,position_innovation"
US101_V0810_T1118847204100__SPEED_BIAS,True,speed_disagreement
US101_V0810_T1118847204100__POSITION_STEP,True,position_innovation
US101_V0810_T1118847204100__SPEED_FREEZE,True,speed_freeze
US101_V0810_T1118847204100__LEAD_SIGNAL_LOSS,True,lead_signal_loss
US101_V0811_T1118847205400__CLOCK_STEP,True,"cadence_gap,position_innovation"
US101_V0811_T1118847205400__SPEED_BIAS,True,speed_disagreement
