fault_id,scenario_id,hazard_id,hazard_class,injection_point,magnitude,expected_monitor,expected_detection
US101_V0779_T1118847200000__CLOCK_STEP,US101_V0779_T1118847200000,H-TIME-INTEGRITY,CLOCK_STEP,global_time,+300 ms step after midpoint,cadence_gap,True
US101_V0779_T1118847200000__SPEED_BIAS,US101_V0779_T1118847200000,H-SPEED-INTEGRITY,SPEED_BIAS,v_vel,+10 ft/s persistent bias,speed_disagreement,True
US101_V0779_T1118847200000__POSITION_STEP,US101_V0779_T1118847200000,H-POSITION-INTEGRITY,POSITION_STEP,local_y,+12 ft step after midpoint,position_innovation,True
US101_V0779_T1118847200000__SPEED_FREEZE,US101_V0779_T1118847200000,H-SPEED-FREEZE,SPEED_FREEZE,v_vel,2.0 s held value,speed_freeze,True
US101_V0779_T1118847200000__LEAD_SIGNAL_LOSS,US101_V0779_T1118847200000,H-ASSOCIATION-LOSS,LEAD_SIGNAL_LOSS,preceding/space_headway/time_headway,1.0 s interior dropout,lead_signal_loss,True
US101_V0781_T1118847200000__CLOCK_STEP,US101_V0781_T1118847200000,H-TIME-INTEGRITY,CLOCK_STEP,global_time,+300 ms step after midpoint,cadence_gap,True
US101_V0781_T1118847200000__SPEED_BIAS,US101_V0781_T1118847200000,H-SPEED-INTEGRITY,SPEED_BIAS,v_vel,+10 ft/s persistent bias,speed_disagreement,True
US101_V0781_T1118847200000__POSITION_STEP,US101_V0781_T1118847200000,H-POSITION-INTEGRITY,POSITION_STEP,local_y,+12 ft step after midpoint,position_innovation,True
US101_V0781_T1118847200000__SPEED_FREEZE,US101_V0781_T1118847200000,H-SPEED-FREEZE,SPEED_FREEZE,v_vel,2.0 s held value,speed_freeze,True
US101_V0781_T1118847200000__LEAD_SIGNAL_LOSS,US101_V0781_T1118847200000,H-ASSOCIATION-LOSS,LEAD_SIGNAL_LOSS,preceding/space_headway/time_headway,1.0 s interior dropout,lead_signal_loss,True
US101_V0787_T1118847200000__CLOCK_STEP,US101_V0787_T1118847200000,H-TIME-INTEGRITY,CLOCK_STEP,global_time,+300 ms step after midpoint,cadence_gap,True
US101_V0787_T1118847200000__SPEED_BIAS,US101_V0787_T1118847200000,H-SPEED-INTEGRITY,SPEED_BIAS,v_vel,+10 ft/s persistent bias,speed_disagreement,True
