scenario_id,vehicle_id,start_global_time_ms,end_global_time_ms
US101_V0779_T1118847200000,779,1118847200000,1118847208000
US101_V0781_T1118847200000,781,1118847200000,1118847208000
US101_V0787_T1118847200000,787,1118847200000,1118847208000
US101_V0788_T1118847200000,788,1118847200000,1118847208000
US101_V0790_T1118847201700,790,1118847201700,1118847209700
US101_V0791_T1118847201700,791,1118847201700,1118847209700
US101_V0792_T1118847202400,792,1118847202400,1118847210400
US101_V0793_T1118847203000,793,1118847203000,1118847211000
US101_V0796_T1118847203600,796,1118847203600,1118847211600
US101_V0798_T1118847204700,798,1118847204700,1118847212700
US101_V0799_T1118847202800,799,1118847202800,1118847210800
US101_V0800_T1118847203500,800,1118847203500,1118847211500
US101_V0801_T1118847204800,801,1118847204800,1118847212800
US101_V0806_T1118847204200,806,1118847204200,1118847212200
US101_V0808_T1118847203600,808,1118847203600,1118847211600
US101_V0809_T1118847200000,809,1118847200000,1118847208000
US101_V0810_T1118847204100,810,1118847204100,1118847212100
US101_V0811_T1118847205400,811,1118847205400,1118847213400
US101_V0812_T1118847204800,812,1118847204800,1118847212800
US101_V0813_T1118847205400,813,1118847205400,1118847213400
US101_V0816_T1118847206400,816,1118847206400,1118847214400
US101_V0817_T1118847206100,817,1118847206100,1118847214100
US101_V0818_T1118847204500,818,1118847204500,1118847212500
US101_V0821_T1118847206500,821,1118847206500,1118847214500
US101_V0822_T1118847206800,822,1118847206800,1118847214800
US101_V0823_T1118847207500,823,1118847207500,1118847215500
US101_V0825_T1118847205800,825,1118847205800,1118847213800
US101_V0826_T1118847205500,826,1118847205500,1118847213500
US101_V0827_T1118847208000,827,1118847208000,1118847216000
US101_V0831_T1118847208300,831,1118847208300,1118847216300
US101_V0832_T1118847209400,832,1118847209400,1118847217400
US101_V0833_T1118847206300,833,1118847206300,1118847214300
US101_V0834_T1118847208900,834,1118847208900,1118847216900
US101_V0836_T1118847207800,836,1118847207800,1118847215800
US101_V0837_T1118847207700,837,1118847207700,1118847215700
US101_V0839_T1118847207100,839,1118847207100,1118847215100
US101_V0843_T1118847210700,843,1118847210700,1118847218700
US101_V0844_T1118847207900,844,1118847207900,1118847215900
US101_V0845_T1118847208500,845,1118847208500,1118847216500
US101_V0846_T1118847210000,846,1118847210000,1118847218000
US101_V0849_T1118847209000,849,1118847209000,1118847217000
US101_V0850_T1118847209200,850,1118847209200,1118847217200
US101_V0851_T1118847208800,851,1118847208800,1118847216800
US101_V0852_T1118847211500,852,1118847211500,1118847219500
US101_V0854_T1118847209600,854,1118847209600,1118847217600
US101_V0858_T1118847210000,858,1118847210000,1118847218000
US101_V0859_T1118847211700,859,1118847211700,1118847219700
US101_V0860_T1118847210200,860,1118847210200,1118847218200
US101_V0861_T1118847213100,861,1118847213100,1118847221100
US101_V0865_T1118847214400,865,1118847214400,1118847222400
US101_V0866_T1118847210300,866,1118847210300,1118847218300
US101_V0867_T1118847211100,867,1118847211100,1118847219100
US101_V0869_T1118847210700,869,1118847210700,1118847218700
US101_V0871_T1118847212300,871,1118847212300,1118847220300
US101_V0872_T1118847212000,872,1118847212000,1118847220000
US101_V0873_T1118847211500,873,1118847211500,1118847219500
US101_V0874_T1118847215300,874,1118847215300,1118847223300
US101_V0876_T1118847215700,876,1118847215700,1118847223700
US101_V0879_T1118847212700,879,1118847212700,1118847220700
US101_V0880_T1118847212800,880,1118847212800,1118847220800
US101_V0882_T1118847213300,882,1118847213300,1118847221300
US101_V0883_T1118847213800,883,1118847213800,1118847221800
US101_V0885_T1118847218200,885,1118847218200,1118847226200
US101_V0886_T1118847212800,886,1118847212800,1118847220800
US101_V0887_T1118847213400,887,1118847213400,1118847221400
US101_V0888_T1118847213500,888,1118847213500,1118847221500
US101_V0889_T1118847214300,889,1118847214300,1118847222300
US101_V0890_T1118847219700,890,1118847219700,1118847227700
US101_V0891_T1118847214000,891,1118847214000,1118847222000
US101_V0892_T1118847214200,892,1118847214200,1118847222200
US101_V0896_T1118847214400,896,1118847214400,1118847222400
US101_V0897_T1118847215400,897,1118847215400,1118847223400
US101_V0898_T1118847220300,898,1118847220300,1118847228300
US101_V0901_T1118847200000,901,1118847200000,1118847208000
US101_V0903_T1118847215300,903,1118847215300,1118847223300
US101_V0904_T1118847221200,904,1118847221200,1118847229200
US101_V0905_T1118847216200,905,1118847216200,1118847224200
US101_V0906_T1118847215500,906,1118847215500,1118847223500
US101_V0908_T1118847216100,908,1118847216100,1118847224100
US101_V0909_T1118847216100,909,1118847216100,1118847224100
